Familia - Family,Departamento - Department,Grupo - Group,Subgrupo - Subgroup,Item,Item Descrip.,ST 12s,ST_REAL,Classificação Geral -  Classification ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,Estrategico - Strategic,VND TT 12s,Projetado - Projected,Estoque QTD Inicial Initial Stock Qty,Recebimento Total  Total Recieved,Fornecedor - Supplier,Preço Original - Original Price,Preço Vigente - Actual Price,Idade de Estoque - Days in Stock,Idade Ajustada - Days in Stock (adjusted),Cash Margem Mês - Monthly Cash Margin,Venda R$ Mês - Montly Sales in R$,R$ Estoque - Stock in R$,Estoque QTD - Stock Qty,Venda QTD Total - Total Sales Qty,Cash Margem Total - Total Cash Margin,Pri. Recebimento - Day when 1st recieved,Pri Dia VND Ajustado - 1st  Day of Sales (adjusted),Qtd Lojas C/ Item Meio Pack - Num. of Stores w/ half pack,Qtd Lojas C/ Item - Num. of Stores w/ the item,Carteira Valor - Order Value,Carteira QTD - Order Qty,Qtd de pedidos - Num. of Orders,Remarcado - Remarked,MV Total - Total Sales Margin,ANO_MÊS - Year_month,Recebimento Custo - Shipping Cost,Recebimento R$ - Amout (R$) Recieved ,Custo Unit. -Cost per unit,MV Entrada - Entry Sales Margin
10 Acessorios Av,ACESSORIOS,CINTO MASCULINO,CINTO SOCIAL,113351,CNT SOC J.SHAYEB 350,"48,68%","48,68%",Slow,"3,65%","3,76%","4,24%","5,55%","4,06%","3,39%","3,23%","4,20%","4,42%","3,79%","3,81%","4,57%",Estratégico,8936,N,12058,38004,J SHAYEB,19.99,19.99,103,279,25387,50280,157002,7854,51739,515828,14/08/2023,2023-08-14 00:00:00,164,171,101709,5088,10,N,0.505410485776184,202308,365579,759699.96,9.62,0.518785284653694
10 Acessorios Av,ACESSORIOS,CINTO MASCULINO,CINTO SOCIAL,113352,CNT SOC J.SHAYEB 350,"34,58%","34,58%",Slow,"2,36%","2,28%","2,69%","3,45%","2,71%","2,46%","2,24%","3,22%","3,75%","2,97%","3,19%","3,26%",Estratégico,3346,N,7425,17292,J SHAYEB,19.99,19.99,103,279,8501,16806,92074,4606,24221,242162,14/08/2023,2023-08-14 00:00:00,133,161,10075,504,7,N,0.506821104461541,202308,166282,345667.08,9.62,0.518953786400487
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,114004,BOXER COTTON NW URBA,"45,69%","45,69%",Slow,"1,85%","3,47%","3,10%","3,24%","3,31%","4,31%","4,44%","3,70%","3,68%","4,50%","5,57%","4,51%",Estratégico,12236,N,16225,59904,MGS,9.99,9.99,60,265,15538,36292,117852,11127,77579,355127,24/08/2023,2023-08-28 00:00:00,135,169,110050,11016,14,S,0.441279793689007,202308,336758,598440.96,5.62,0.437273812273812
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,114005,BOXER COTTON NW BASI,"38,87%","38,87%",Slow,"1,56%","2,16%","3,36%","4,23%","2,84%","2,57%","2,88%","4,02%","4,54%","3,68%","3,33%","3,70%",Estratégico,8499,N,13468,53472,MGS,9.99,9.99,69,279,8882,20386,40011,3748,65595,297512,15/08/2023,2023-08-14 00:00:00,74,149,236403,23664,14,S,0.438670913290139,202308,300497,534185.28,5.62,0.437466191505689
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,114006,BOXER COTTON NW UNDE,"54,35%","54,35%",Slow,"5,32%","3,33%","4,57%","6,01%","6,09%","4,06%","3,60%","3,38%","4,38%","4,40%","4,97%","4,25%",Estratégico,8613,N,7902,42120,MGS,9.99,9.99,75,286,9017,21105,66539,6298,53336,244515,09/08/2023,2023-08-07 00:00:00,106,166,24456,2448,14,S,0.44266772248921,202308,237393,420778.8,5.64,0.435825569158902
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,CUECA BOXER MICROFIB,114093,BOXER MICRO EST DIV,"43,53%","43,53%",Slow,"2,47%","2,55%","3,76%","3,47%","3,62%","3,85%","4,91%","4,63%","3,55%","2,86%","3,57%","4,29%",Estratégico,8984,N,12668,35736,OVIMAR INDUSTRIA E COMERCIO DE MALJAS LTDA EPP,15.99,15.99,38,272,28311,49659,134892,8436,51757,458075,17/08/2023,2023-08-21 00:00:00,169,173,156190,9768,11,N,0.564068072265983,202308,238550,571418.64,6.68,0.582529544363481
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,115466,BOXER COTTON NW SPOR,"48,10%","48,10%",Slow,"3,96%","7,07%","3,55%","3,78%","4,22%","4,07%","2,63%","2,57%","2,96%","4,19%","4,49%","4,60%",Estratégico,12277,N,14509,58224,MGS,9.99,9.99,81,293,15644,36712,109719,10424,76198,355520,02/08/2023,2023-07-31 00:00:00,116,160,164475,16464,13,S,0.445033972700166,202308,327471,581657.76,5.62,0.437003367753574
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,115468,BOXER COTTON NW STRE,"40,60%","40,60%",Slow,"0,69%","1,99%","2,24%","1,77%","1,33%","2,72%","4,01%","4,91%","3,94%","5,36%","6,46%","5,19%",Estratégico,8471,N,14002,55512,MGS,9.99,9.99,148,265,16938,39137,59711,5502,63678,296971,25/08/2023,2023-08-28 00:00:00,130,171,174306,17448,13,S,0.448396022682293,202308,311653,554564.88,5.61,0.438021679266815
10 Acessorios Av,UNDERWEAR,MEIA MASCULINA,KIT MEIA INVISIV 6x1,115612,KIT MEIA 6X1 CN CTO,"40,93%","40,93%",Slow,"2,91%","5,93%","3,32%","2,66%","3,16%","4,12%","3,38%","2,71%","2,78%","3,49%","3,66%","2,82%",Não Estratégico,12540,N,23029,39564,CEDETEX,19.99,25.99,69,293,35644,70299,339352,13057,67588,911439,01/08/2023,2023-07-31 00:00:00,172,172,229232,8820,10,S,0.527915953613326,202308,491164,1028268.36,12.41,0.5223385070411
10 Acessorios Av,COMPLEMENTOS,SQUEEZE,COPOS,120910,COPO SHAKE MINNIE 50,"51,81%","51,81%",Slow,"3,00%","5,12%","5,37%","8,49%","4,00%","5,18%","3,06%","3,56%","4,06%","3,68%","2,68%","3,62%",Estratégico,830,N,1224,1695,PLASUTIL  INDUSTRIA E COMERCIO DE PLASTICOS LTDA,15.99,19.99,312,244,736,1164,7537,377,2492,30961,13/09/2023,2023-09-18 00:00:00,17,78,,,4,S,0.635911819975677,202309,12095,33883.05,7.14,0.643046301912018
10 Acessorios Av,UNDERWEAR,CALCINHA INFANTIL,KIT CALCINHA INF,121309,KIT CALCINHA 5X1 ACE,"63,16%","63,16%",Good,"3,88%","7,08%","7,91%","7,50%","6,89%","7,67%","5,88%","2,77%","1,91%","1,99%","3,48%","6,20%",Estratégico,8812,N,9397,35240,MGS,19.99,19.99,86,265,10641,21117,113204,5663,71256,709582,25/08/2023,2023-08-28 00:00:00,102,156,185107,9260,8,S,0.506567266014732,202308,341828,704447.6,9.7,0.514757378689345
10 Acessorios Av,ACESSORIOS,CINTO MASCULINO,CINTO SOCIAL,122429,CNT SOC ECON DF 3001,"45,19%","45,19%",Slow,"3,19%","3,39%","4,01%","4,28%","4,51%","4,72%","3,26%","2,78%","3,26%","4,70%","3,58%","3,51%",Estratégico,2894,N,5988,2004,J SHAYEB,15.99,15.99,261,258,847,1734,11561,723,17512,136245,01/09/2023,2023-09-04 00:00:00,44,94,,,1,N,0.492336361168583,202309,16794,32043.96,8.38,0.475922451532208
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,CUECA BOXER MICROFIB,122847,CUECA BOXER POLI LST,"45,34%","45,34%",Slow,"2,00%","3,06%","4,44%","4,01%","3,74%","4,41%","5,52%","4,54%","3,16%","2,48%","3,66%","4,32%",Estratégico,4772,N,5873,18540,OVIMAR INDUSTRIA E COMERCIO DE MALJAS LTDA EPP,15.99,15.99,39,272,11244,19690,51680,3232,28236,250875,17/08/2023,2023-08-21 00:00:00,82,161,75313,4710,9,S,0.564873435748732,202308,123936,296454.6,6.68,0.581939359348784
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,CUECA BOXER MICROFIB,125994,BOXER MICRO RISCA GI,"36,63%","36,63%",Slow,"1,62%","1,52%","2,40%","2,26%","1,96%","2,16%","4,90%","3,79%","3,18%","2,77%","3,99%","6,08%",Estratégico,1084,N,2093,6780,OVIMAR INDUSTRIA E COMERCIO DE MALJAS LTDA EPP,15.99,15.99,58,272,5256,9208,16726,1046,9774,86873,17/08/2023,2023-08-21 00:00:00,24,95,,,9,N,0.565646729769496,202308,45177,108412.2,6.66,0.583284907049207
10 Acessorios Av,COMPLEMENTOS,SQUEEZE,COPOS,126916,COPO SHAKE HOMEM ARA,"62,04%","62,04%",Good,"3,55%","5,32%","10,23%","4,89%","3,59%","4,19%","4,47%","4,15%","4,47%","4,51%","6,27%","6,40%",Estratégico,2917,N,3115,5580,PLASUTIL  INDUSTRIA E COMERCIO DE PLASTICOS LTDA,15.99,19.99,153,237,2826,4447,8236,412,10101,125763,20/09/2023,2023-09-25 00:00:00,29,95,,,5,S,0.635501790011017,202309,39816,111544.2,7.14,0.643046523261631
02 Masculino,MASC ESPORTE,BOTTON,SHORT VOLEY,131705,SHORT VOLEY 5310M NT,"61,69%","61,69%",Good,"12,49%","5,64%","5,47%","4,67%","5,73%","4,84%","4,00%","3,91%","5,02%","4,76%","2,84%","2,31%",Estratégico,1388,N,2094,1500,NATIVO,19.99,29.99,304,286,175,300,1500,50,5119,86964,02/08/2023,2023-08-07 00:00:00,1,28,,,1,S,0.576318025604822,202308,18750,44985,12.5,0.583194398132711
10 Acessorios Av,COMPLEMENTOS,SQUEEZE,COPOS,133586,COPO SHAKE PRINCESAS,"28,48%","28,48%",Slow,"1,43%","2,47%","3,72%","2,35%","1,66%","1,80%","1,84%","1,69%","1,88%","2,69%","3,72%","3,24%",Estratégico,774,N,2063,2535,PLASUTIL  INDUSTRIA E COMERCIO DE PLASTICOS LTDA,15.99,19.99,159,237,1488,2352,30125,1507,3776,46952,20/09/2023,2023-09-25 00:00:00,89,153,,,5,S,0.635191978766687,202309,18088,50674.65,7.14,0.643046375258635
02 Masculino,MASC ESPORTE,BOTTON,SHORT VOLEY,134397,SHORT VOLEY 5300B NT,"86,19%","86,19%",Best,"6,51%","8,22%","9,60%","8,61%","6,38%","8,55%","7,63%","8,35%","6,57%","9,47%","4,27%","2,04%",Estratégico,1311,N,1447,1500,NATIVO,19.99,29.99,319,216,114,201,510,17,2134,36697,09/10/2023,2023-10-16 00:00:00,,15,,,1,S,0.581005774110659,202310,18750,44985,12.5,0.583194398132711
02 Masculino,MASC ESPORTE,BOTTON,SHORT VOLEY,136777,SHORT VOLEY 5300G NT,"46,19%","46,19%",Slow,"3,33%","6,29%","3,98%","3,02%","2,59%","3,24%","3,33%","1,91%","3,39%","4,97%","5,55%","4,57%",Estratégico,1497,N,2181,4500,NATIVO,19.99,29.99,215,265,3140,5565,43276,1443,5092,87353,17/08/2023,2023-08-28 00:00:00,68,96,,,3,S,0.580265289435553,202308,56250,134955,12.5,0.583194398132711
10 Acessorios Av,UNDERWEAR,MEIA MASCULINA,MEIA CASUAL,138550,KIT MEIA 3X1 CASUAL,"34,85%","34,85%",Slow,"2,86%","3,09%","3,96%","3,34%","2,57%","2,44%","2,83%","2,70%","2,64%","2,32%","2,81%","3,30%",Não Estratégico,5366,N,10697,20340,CEDETEX,12.99,17.99,62,272,14490,25763,151332,8412,33684,315832,18/08/2023,2023-08-21 00:00:00,171,172,76422,4248,8,S,0.560953267554159,202308,160262,360480.6,7.88,0.555420014280935
10 Acessorios Av,UNDERWEAR,MEIA MASCULINA,MEIA SOCIAL,138551,KIT MEIA 3X1 SOCIAL,"33,16%","33,16%",Slow,"2,19%","2,71%","2,32%","2,43%","2,58%","3,14%","2,75%","2,23%","2,28%","2,66%","4,02%","3,87%",Não Estratégico,1544,N,3405,6588,CEDETEX,12.99,19.99,74,265,4459,8031,45258,2264,11708,123537,23/08/2023,2023-08-28 00:00:00,110,168,17991,900,7,S,0.562601198372719,202308,58652,130866.12,8.9,0.551816008604824
01 Lar,PAREDE,VARAO,VARAO 1.5M,140189,KIT VARAO 1 5M IMBUI,"37,22%","37,22%",Slow,"3,97%","2,66%","2,71%","2,76%","4,42%","3,39%","3,45%","2,68%","3,45%","2,76%","2,74%","2,24%",Estratégico,1415,N,2879,3520,BELLA ARTE,15.99,25.99,75,286,3498,5648,36023,1386,8614,142793,02/08/2023,2023-08-07 00:00:00,48,133,31188,1200,9,S,0.630118037172792,202308,34236,91484.8,9.73,0.625773243205429
01 Lar,PAREDE,VARAO,VARAO 1.5M,140190,KIT VARAO 1 5M BRANC,"46,93%","46,93%",Slow,"4,18%","3,35%","3,78%","3,61%","5,94%","4,80%","3,78%","3,22%","4,31%","3,14%","3,50%","3,31%",Estratégico,2481,N,3735,9180,BELLA ARTE,15.99,25.99,54,286,10684,17291,75839,2918,14900,245188,02/08/2023,2023-08-07 00:00:00,117,161,,,10,S,0.628361874043632,202308,89286,238588.2,9.73,0.625773277974351
01 Lar,PAREDE,VARAO,VARAO 1.5M,140191,KIT VARAO 1 5M PALHA,"34,92%","34,92%",Slow,"2,29%","2,38%","3,79%","3,79%","3,70%","3,35%","2,29%","3,44%","3,62%","2,47%","2,12%","1,68%",Estratégico,396,N,1089,10,BELLA ARTE,15.99,25.99,214,209,406,659,9487,365,3930,66621,18/10/2023,2023-10-23 00:00:00,22,73,,,1,S,0.635236010492851,202310,97,259.9,9.73,0.625779145825317
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI SAMBA CANCAO,141704,SAMBA CANCAO SORT MG,"65,97%","65,97%",Good,"11,67%","4,57%","3,91%","4,66%","5,96%","4,67%","4,12%","4,52%","6,21%","6,41%","5,09%","4,16%",Estratégico,69831,N,67390,252150,MGS,12.99,9.99,38,286,56911,134579,547037,51117,389812,1572840,09/08/2023,2023-08-07 00:00:00,173,173,264935,26520,23,S,0.408855979991019,202308,1443274,2518978.5,5.72,0.427039889383732
01 Lar,SOLO,ALMOFADA,ALMOFADA P1,142420,ALMO 45X45 PLUSH ALT,"63,50%","63,50%",Good,"5,66%","3,69%","3,31%","5,30%","7,25%","5,44%","4,34%","4,42%","5,80%","6,31%","6,10%","5,88%",Estratégico,46385,N,31882,127840,ALTENBURG,19.99,19.99,44,286,79157,158982,384205,18962,170326,1695390,04/08/2023,2023-08-07 00:00:00,168,170,147926,7400,26,S,0.502188318514143,202308,1266894,2555521.6,9.91,0.504252126063032
10 Acessorios Av,COMPLEMENTOS,SQUEEZE,COPOS,144919,COPO SHAKE CAPITAO A,"38,36%","38,36%",Slow,"2,91%","3,20%","3,60%","4,97%","2,80%","2,63%","1,66%","2,80%","2,63%","2,85%","3,42%","4,91%",Estratégico,672,N,1286,1800,PLASUTIL  INDUSTRIA E COMERCIO DE PLASTICOS LTDA,15.99,19.99,153,244,1014,1600,12154,608,3047,37848,13/09/2023,2023-09-18 00:00:00,35,98,,,4,S,0.634971395017196,202309,12844,35982,7.14,0.643045967428159
10 Acessorios Av,COMPLEMENTOS,SQUEEZE,COPOS,144986,COPO SHAKE HULK 500M,"37,66%","37,66%",Slow,"1,71%","3,32%","4,93%","3,09%","2,34%","2,11%","2,40%","2,43%","2,63%","3,19%","4,31%","5,20%",Estratégico,1145,N,2234,2760,PLASUTIL  INDUSTRIA E COMERCIO DE PLASTICOS LTDA,15.99,19.99,197,237,1487,2337,22829,1142,5125,63988,20/09/2023,2023-09-25 00:00:00,55,129,,,5,S,0.636120699176496,202309,19694,55172.4,7.14,0.643046342011586
10 Acessorios Av,UNDERWEAR,CALCINHA INFANTIL,CONJUNTO JUVA,146035,KIT JUVA SEM BOJO LI,"52,31%","52,31%",Slow,"3,12%","3,63%","4,53%","3,53%","3,81%","4,76%","5,82%","7,18%","3,85%","3,46%","3,94%","4,68%",Estratégico,2680,N,3367,9702,BEL SONHOS CONFECCOES LTDA,19.99,19.99,47,272,6382,11175,30665,1534,14969,169005,17/08/2023,2023-08-21 00:00:00,54,148,22669,1134,11,N,0.573616391476717,202308,80689,193942.98,8.32,0.583957099143264
10 Acessorios Av,UNDERWEAR,CALCINHA INFANTIL,CONJUNTO JUVA,146038,KIT JUVA BOJO ESTAMP,"48,70%","48,70%",Slow,"2,72%","3,61%","4,96%","3,41%","3,73%","4,59%","5,20%","5,72%","2,77%","3,34%","3,78%","4,88%",Estratégico,1985,N,2854,6360,BEL SONHOS CONFECCOES LTDA,25.99,25.99,112,272,7157,12298,45171,1738,11242,168866,17/08/2023,2023-08-21 00:00:00,97,149,17153,660,11,N,0.587619914621517,202308,67416,165296.4,10.6,0.592150827241247
10 Acessorios Av,COMPLEMENTOS,EMBALAGEM,SAQUINHO INFANTIL,154969,EMBALAG 43X59 INF/BB,"55,33%","55,33%",Good,"1,71%","1,90%","3,04%","2,64%","3,06%","3,13%","6,76%","14,23%","4,75%","4,45%","4,51%","5,14%",Estratégico,8704,N,13551,12600,GALA IBB BRAS DE BRINQ E EMB LTDA,4.99,4.99,237,272,514,906,2790,559,31142,87523,15/08/2023,2023-08-21 00:00:00,4,41,,,3,N,0.570645256671852,202308,27382,62874,2.17,0.564486433183828
10 Acessorios Av,COMPLEMENTOS,EMBALAGEM,SAQUINHO MASCULINO,154973,EMBALAG 43X59 MASC/C,"56,97%","56,97%",Good,"1,47%","3,53%","4,78%","5,69%","5,15%","4,29%","5,40%","8,19%","5,35%","4,56%","4,44%","4,12%",Estratégico,10576,N,14005,16200,GALA IBB BRAS DE BRINQ E EMB LTDA,4.99,4.99,237,272,691,1217,3858,773,38078,107525,15/08/2023,2023-08-21 00:00:00,4,42,,,3,N,0.573015516806867,202308,35206,80838,2.17,0.564486380167743
10 Acessorios Av,COMPLEMENTOS,EMBALAGEM,SAQUINHO FEMININO,154980,EMBALAG 43X59 FEM/CA,"60,91%","60,91%",Good,"3,88%","4,35%","4,61%","6,32%","5,48%","4,62%","4,00%","5,07%","9,00%","4,78%","4,42%","4,37%",Estratégico,14139,N,16244,16200,GALA IBB BRAS DE BRINQ E EMB LTDA,4.99,4.99,237,279,692,1225,3054,612,55597,157085,15/08/2023,2023-08-14 00:00:00,2,41,,,3,N,0.572888718435884,202308,35206,80838,2.17,0.564486380167743
10 Acessorios Av,COMPLEMENTOS,EMBALAGEM,SAQUINHO INFANTIL,154984,EMBALAG 25X35 INF/BB,"69,28%","69,28%",Good,"2,24%","2,58%","5,34%","5,03%","5,02%","8,46%","10,33%","14,62%","4,73%","4,27%","3,25%","3,42%",Estratégico,14180,N,16740,16440,GALA IBB BRAS DE BRINQ E EMB LTDA,3.99,4.99,244,272,256,374,2046,410,45251,153282,15/08/2023,2023-08-21 00:00:00,2,51,,,4,S,0.687582966910398,202308,25901,82035.6,1.58,0.684268537074148
10 Acessorios Av,COMPLEMENTOS,EMBALAGEM,SAQUINHO MASCULINO,154989,EMBALAG 25X35 MASC/C,"62,71%","62,71%",Good,"3,45%","4,62%","6,48%","5,12%","4,02%","3,35%","5,32%","10,11%","5,79%","4,86%","4,97%","4,62%",Estratégico,12573,N,14541,14520,GALA IBB BRAS DE BRINQ E EMB LTDA,3.99,4.99,237,272,381,557,1697,340,46543,158351,15/08/2023,2023-08-21 00:00:00,2,41,,,3,S,0.68965046128369,202308,22876,72454.8,1.58,0.684268537074148
10 Acessorios Av,COMPLEMENTOS,EMBALAGEM,SAQUINHO FEMININO,155026,EMBALAG 25X35 FEM/CA,"72,87%","72,87%",Good,"4,36%","6,27%","6,69%","8,14%","6,98%","5,67%","4,30%","6,18%","11,17%","4,97%","3,97%","4,18%",Estratégico,18443,N,16115,19920,GALA IBB BRAS DE BRINQ E EMB LTDA,3.99,4.99,237,279,321,469,1592,319,59999,203845,15/08/2023,2023-08-14 00:00:00,3,44,,,3,S,0.689245910831878,202308,31384,99400.8,1.58,0.684268537074148
10 Acessorios Av,UNDERWEAR,CALCINHA INFANTIL,CONJUNTO JUVA,155027,KIT JUVA S/BOJO ESTA,"62,36%","62,36%",Good,"3,96%","4,27%","5,95%","4,48%","4,99%","4,92%","6,78%","8,87%","3,82%","4,01%","4,65%","5,65%",Estratégico,4436,N,4650,12072,BEL SONHOS CONFECCOES LTDA,19.99,19.99,47,272,12796,22272,34183,1710,22549,256000,17/08/2023,2023-08-21 00:00:00,93,161,52294,2616,10,S,0.577940089312608,202308,100267,241319.28,8.31,0.584506467945702
02 Masculino,MASC ESPORTE,TOP,T-SHIRT BASICA,155702,TSHIRT BAS BCO NTV E,"79,79%","79,79%",Best,"4,03%","9,17%","9,33%","7,04%","7,36%","5,89%","4,14%","4,62%","4,69%","5,73%","6,54%","11,27%",Estratégico,3525,N,4010,6900,NATIVO,,29.99,257,230,9790,16726,42676,1423,12711,224462,27/09/2023,2023-10-02 00:00:00,71,118,,,4,S,0.596558671441649,202309,82800,206931,12,0.599866622207403
02 Masculino,MASC ESPORTE,TOP,T-SHIRT BASICA,155703,TSHIRT BAS PTO NTV E,"46,71%","46,71%",Slow,"4,29%","8,86%","9,23%","6,74%","3,61%","3,07%","2,08%","2,70%","1,78%","0,82%","0,62%","2,90%",Não Estratégico,2176,N,2395,8100,NATIVO,,29.99,335,279,2182,3712,15145,505,8162,142169,10/08/2023,2023-08-14 00:00:00,18,38,,,4,S,0.592148812790455,202308,94320,242919,11.64,0.61172242599385
02 Masculino,MASC ESPORTE,TOP,T-SHIRT BASICA,155704,TSHIRT BAS MAR NTV E,"86,38%","86,38%",Best,"6,05%","11,11%","12,22%","9,59%","7,53%","7,57%","5,88%","6,87%","7,04%","7,82%","3,05%","1,65%",Estratégico,2099,N,2210,5100,NATIVO,,29.99,372,216,21814,37126,40097,1337,7452,130654,13/10/2023,2023-10-16 00:00:00,91,138,,,3,S,0.593810685921576,202310,61200,152949,12,0.599866622207403
02 Masculino,MASC ESPORTE,TOP,T-SHIRT BASICA,155705,TSHIRT BAS ROY NTV E,"49,46%","49,46%",Slow,"3,77%","3,65%","4,52%","5,24%","5,89%","3,29%","2,69%","3,23%","3,53%","5,54%","4,49%","3,62%",Estratégico,1653,N,2202,5088,NATIVO,,29.99,225,286,7648,13108,36978,1233,7334,128573,07/08/2023,2023-08-07 00:00:00,60,81,,,4,S,0.593648246707707,202308,61056,152589.12,12,0.599866622207403
02 Masculino,MASC ESPORTE,TOP,T-SHIRT BASICA,155708,TSHIRT BAS VRM NTV E,"48,88%","48,88%",Slow,"1,81%","3,90%","5,80%","4,09%","2,87%","3,03%","3,96%","7,11%","4,46%","3,18%","4,27%","4,40%",Não Estratégico,1567,N,2479,5088,NATIVO,,29.99,308,272,8070,13806,32210,1074,7342,109500,18/08/2023,2023-08-21 00:00:00,62,108,35988,1200,4,S,0.555443575386348,202308,61056,152589.12,12,0.599866622207403
02 Masculino,MASC ESPORTE,TOP,T-SHIRT BASICA,155709,TSHIRT BAS GRF NTV E,"61,36%","61,36%",Good,"5,97%","7,11%","3,43%","2,50%","3,59%","5,36%","6,02%","5,82%","5,01%","4,87%","4,21%","7,46%",Estratégico,3627,N,2762,6936,NATIVO,,29.99,224,230,12509,21353,22643,755,8957,157476,25/09/2023,2023-10-02 00:00:00,47,85,,,4,S,0.594721167650331,202309,83232,208010.64,12,0.599866622207403
10 Acessorios Av,UNDERWEAR,CALCINHA INFANTIL,CONJUNTO JUVA,157373,KIT JUVA BOJO LISO 2,"46,84%","46,84%",Slow,"2,94%","4,04%","4,11%","3,73%","4,11%","4,15%","5,19%","6,02%","2,92%","2,72%","2,92%","4,00%",Estratégico,2086,N,3034,6828,BEL SONHOS CONFECCOES LTDA,25.99,25.99,82,272,4967,8597,40519,1559,12013,176854,17/08/2023,2023-08-21 00:00:00,80,149,18401,708,10,N,0.575332880970934,202308,72570,177459.72,10.63,0.591060100849928
10 Acessorios Av,UNDERWEAR,CALCINHA INFANTIL,CALCIINHA JUVA,157631,KIT 2 CALC JUVA COTT,"45,97%","45,97%",Slow,"3,24%","4,25%","3,83%","3,66%","3,80%","3,66%","5,23%","4,91%","3,03%","3,17%","3,17%","4,01%",Estratégico,1319,N,1965,5160,BEL SONHOS CONFECCOES LTDA,15.99,15.99,75,272,3313,5940,23682,1481,8711,76528,17/08/2023,2023-08-21 00:00:00,85,135,15159,948,10,N,0.559479795920591,202308,35177,82508.4,6.82,0.573657954826418
10 Acessorios Av,ACESSORIOS,CARTEIRA MASCULINA,CARTEIRA,159154,CART MASC PU 1167 MN,"64,17%","64,17%",Good,"6,98%","16,17%","8,33%","5,27%","5,27%","4,77%","3,42%","3,49%","4,27%","2,07%","1,78%","2,35%",Estratégico,901,N,1311,1200,MP2RCOMERCIO E SERVICOS ADMINISTRATIVOS LTDA,39.99,35.99,222,160,457,883,7414,206,2752,49749,29/11/2023,2023-12-11 00:00:00,12,56,,,1,N,0.515210162671172,202311,20412,43188,17.01,0.527368713531537
10 Acessorios Av,COMPLEMENTOS,DIVERSOS,ELASTICO DE CABELO,163596,KIT 30 ELÁST DE CABE,"51,26%","51,26%",Slow,"0,81%","1,02%","2,86%","5,58%","7,13%","5,39%","5,18%","5,78%","5,45%","4,73%","3,97%","3,37%",Estratégico,3424,N,6368,8670,NICE HARVEST INTERNATIONAL CO LTD,9.99,12.99,145,132,4588,6463,21018,1618,18665,168026,08/01/2024,2024-01-08 00:00:00,39,120,33904,2610,4,S,0.704808484695646,202401,23006,112623.3,2.65,0.795728414990504
10 Acessorios Av,COMPLEMENTOS,DIVERSOS,ELASTICO DE CABELO,163598,KIT 30 ELÁST DE CABE,"53,41%","53,41%",Slow,"0,58%","1,26%","2,80%","4,98%","7,10%","5,53%","5,33%","5,61%","6,32%","5,79%","4,62%","3,47%",Estratégico,3505,N,6278,8670,NICE HARVEST INTERNATIONAL CO LTD,9.99,12.99,145,132,4583,6497,20707,1594,20038,181626,08/01/2024,2024-01-08 00:00:00,45,125,31955,2460,4,S,0.709629331822068,202401,23006,112623.3,2.65,0.795728414990504
10 Acessorios Av,COMPLEMENTOS,DIVERSOS,ELASTICO DE CABELO,163600,KIT 4 ELÁST DE CABEL,"58,29%","58,29%",Good,"0,70%","1,22%","2,60%","5,60%","8,46%","7,23%","6,44%","6,29%","6,67%","4,97%","4,17%","3,93%",Estratégico,6342,N,10371,14670,NICE HARVEST INTERNATIONAL CO LTD,9.99,12.99,145,132,6773,8524,25773,1984,30780,310635,08/01/2024,2024-01-08 00:00:00,40,125,52220,4020,4,S,0.791136640634142,202401,27962,190563.3,1.91,0.853268179129979
01 Lar,SOLO,TAPETE,TAPETE MEDIO,163786,TAP 100X150 SHAGGY 1,"44,27%","44,27%",Slow,"3,30%","2,31%","2,47%","4,95%","6,88%","7,01%","6,06%","1,94%","2,06%","2,31%","2,64%","2,35%",Estratégico,1074,N,1568,4032,OASIS INDUSTRIA E COMERCIO DE TAPETES LTDA,,149.99,90,286,19104,33509,219436,1463,4880,331473,02/08/2023,2023-08-07 00:00:00,167,169,74695,498,8,S,0.517132208969724,202308,251204,604759.68,62.3,0.584622060121468
02 Masculino,MASCULINO BASICO,TOP,KVI TOP MC,165996,CAMISETA MC BRC NTV,"66,65%","66,65%",Good,"6,63%","6,02%","6,32%","6,12%","6,83%","5,78%","5,21%","4,58%","5,53%","5,81%","4,32%","3,51%",Estratégico,5488,N,7877,1380,NATIVO,19.99,19.99,285,286,139,340,6697,335,18111,144245,08/08/2023,2023-08-07 00:00:00,6,59,,,1,S,0.402026821383349,202308,16325,27586.2,11.83,0.408204102051026
