Familia - Family,Departamento - Department,Grupo - Group,Subgrupo - Subgroup,Item,Item Descrip.,ST 12s,ST_REAL,Classificação Geral -  Classification ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,Estrategico - Strategic,VND TT 12s,Projetado - Projected,Estoque QTD Inicial Initial Stock Qty,Recebimento Total  Total Recieved,Fornecedor - Supplier,Preço Original - Original Price,Preço Vigente - Actual Price,Idade de Estoque - Days in Stock,Idade Ajustada - Days in Stock (adjusted),Cash Margem Mês - Monthly Cash Margin,Venda R$ Mês - Montly Sales in R$,R$ Estoque - Stock in R$,Estoque QTD - Stock Qty,Venda QTD Total - Total Sales Qty,Cash Margem Total - Total Cash Margin,Pri. Recebimento - Day when 1st recieved,Pri Dia VND Ajustado - 1st  Day of Sales (adjusted),Qtd Lojas C/ Item Meio Pack - Num. of Stores w/ half pack,Qtd Lojas C/ Item - Num. of Stores w/ the item,Carteira Valor - Order Value,Carteira QTD - Order Qty,Qtd de pedidos - Num. of Orders,Remarcado - Remarked,MV Total - Total Sales Margin,ANO_MÊS - Year_month,Recebimento Custo - Shipping Cost,Recebimento R$ - Amout (R$) Recieved ,Custo Unit. -Cost per unit,MV Entrada - Entry Sales Margin
02 Masculino,MASC ESPORTE,PRAIA,BOARD SHORT,271412,SHORTS EST BPM249 CA,"75,00%","75,00%",Best,"21,32%","18,36%","9,60%","7,55%","4,53%","2,90%","2,66%","2,11%","1,45%","1,33%","1,57%","1,63%",Não Estratégico,1242,N,1495,1656,BLUE BAY,39.99,49.99,163,153,1082,1712,9349,187,1451,45960,08/12/2023,2023-12-18 00:00:00,12,32,,,1,S,0.644121505334148,202312,28980,82783.44,17.5,0.649929985997199
02 Masculino,MASC ESPORTE,PRAIA,BOARD SHORT,271413,SHORTS EST BPM400 CA,"67,53%","67,53%",Good,"5,36%","6,08%","7,53%","8,13%","8,55%","11,93%","7,83%","4,58%","3,31%","2,23%","1,33%","0,66%",Não Estratégico,1121,N,1566,1660,BLUE BAY,49.99,29.99,202,188,534,1374,5519,184,1459,41998,30/10/2023,2023-11-13 00:00:00,9,55,,,1,S,0.62191079686233,202310,29050,82983.4,17.5,0.649929985997199
02 Masculino,MASC ESPORTE,PRAIA,BOARD SHORT,271414,SHORTS EST BPM422 CA,"66,57%","66,57%",Good,"6,07%","5,42%","7,23%","7,73%","7,33%","11,70%","7,53%","4,52%","4,37%","2,86%","0,95%","0,85%",Não Estratégico,1326,N,1914,1992,BLUE BAY,49.99,29.99,202,188,517,1305,6568,219,1749,49771,30/10/2023,2023-11-13 00:00:00,9,60,,,1,S,0.619206356750053,202310,34860,99580.08,17.5,0.649929985997199
02 Masculino,MASC ESPORTE,PRAIA,BOARD SHORT,271415,SHORTS EST SMS131 CA,"91,42%","91,42%",Best,"6,73%","12,65%","11,45%","10,59%","11,80%","10,49%","15,26%","6,63%","2,21%","2,21%","1,15%","0,25%",Não Estratégico,1821,N,1924,1992,BLUE BAY,49.99,29.99,202,195,88,228,900,30,1951,60671,30/10/2023,2023-11-06 00:00:00,,16,,,1,S,0.639895136366809,202310,34860,99580.08,17.5,0.649929985997199
10 Acessorios Av,UNDERWEAR,MEIA INFANTIL,MEIA AVULSA,271416,KIT 5X1 MEIA MNA EAK,"100,00%","33,93%",Best,"4,66%","9,92%","19,35%",,,,,,,,,,Não Estratégico,1064,S,973,1008,PPS,25.99,25.99,53,27,4871,12838,10942,421,587,5580,27/03/2024,2024-04-22 00:00:00,31,64,,,1,N,0.379475063689026,202403,7790,26197.92,7.73,0.702633262488014
04 Infantil,PP MENINO,JEANS,CALCA JEANS,271417,CALCA JEANS ESC SKIN,"73,00%","73,00%",Good,"4,56%","8,75%","7,56%","7,56%","7,56%","9,06%","5,94%","5,81%","5,50%","4,50%","3,31%","2,88%",Não Estratégico,1168,N,1564,1600,G M D INDUSTRIA TEXTIL EIRELI,59.99,39.99,152,139,570,2430,6079,152,1450,39890,19/12/2023,2024-01-01 00:00:00,11,59,,,1,S,0.478350465023579,202312,48000,95984,30,0.499916652775463
04 Infantil,PP MENINO,JEANS,CALCA JEANS,271418,CALCA JEANS JOGGER M,"44,63%","44,63%",Slow,"17,19%","8,19%","1,88%","1,75%","1,44%","1,75%","1,63%","2,50%","1,69%","2,38%","2,13%","2,13%",Não Estratégico,714,N,1495,1600,G M D INDUSTRIA TEXTIL EIRELI,69.99,39.99,164,153,747,4509,21515,538,1054,33135,07/12/2023,2023-12-18 00:00:00,44,117,,,1,S,0.487871663719178,202312,52800,111984,33,0.528504072010287
04 Infantil,PP MENINO,JEANS,BERMUDA JEANS,271419,BERMUDA JEANS ESC MO,"54,25%","54,25%",Slow,"16,63%","10,63%","2,31%","3,06%","2,63%","2,38%","2,31%","4,06%","2,13%","1,94%","2,75%","3,44%",Não Estratégico,868,N,1490,1600,G M D INDUSTRIA TEXTIL EIRELI,69.99,39.99,159,153,1060,5090,12637,316,1287,43411,12/12/2023,2023-12-18 00:00:00,23,85,,,1,S,0.521087422161851,202312,49600,111984,31,0.557079582797543
04 Infantil,PP MENINO,JEANS,BERMUDA JEANS,271420,BERMUDA JEANS CHAMBL,"28,82%","28,82%",Slow,"2,28%","2,13%","2,50%","2,65%","3,53%","2,57%","2,87%","2,35%","2,57%","2,21%","1,25%","1,91%",Não Estratégico,392,N,1340,1360,G M D INDUSTRIA TEXTIL EIRELI,69.99,69.99,121,104,2576,4490,61592,880,474,18613,19/01/2024,2024-02-05 00:00:00,92,115,,,1,N,0.571423571411905,202401,40052,95186.4,29.45,0.579225603657665
04 Infantil,PP MENINO,JEANS,BERMUDA JEANS,271421,BERMUDA JEANS CLARO,"68,56%","68,56%",Good,"42,94%","9,63%","2,31%","1,63%","2,13%","1,69%","1,56%","2,19%","1,13%","1,06%","1,06%","1,25%",Não Estratégico,1097,N,1256,2600,G M D INDUSTRIA TEXTIL EIRELI,69.99,69.99,155,153,1588,2807,32476,464,1407,55124,05/12/2023,2023-12-18 00:00:00,37,94,,,2,N,0.570804960033087,202312,77750,181974,29.9,0.572741160825173
